id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city,occupancy_rate,estimated_annual_revenue
573838414994864002,Cute Uptown Duplex,391375,Lauren,,Audubon,29.9398,-90.11335,Entire home/apt,358.0,2,51,2025-05-18,1.81,1,228,17,"23-NSTR-16831, 22-OSTR-05013",New Orleans,37.53,57136.8
574116105964957465,Modern 3-Bedroom Home in Historic Algiers Point,69819656,Ricardo,,Whitney,29.9509758,-90.0419786,Entire home/apt,181.0,30,50,2024-07-08,1.4,1,270,0,"22-RSTR-08697, 22-OSTR-10654",New Orleans,26.03,34209.0
574456612172189055,"Comfortable, Cozy Gentilly Home",447705814,Claire,,Gentilly Terrace,29.99702,-90.05257,Entire home/apt,60.0,30,1,2022-08-27,0.03,1,362,0,,New Orleans,0.82,15204.0
574686479688116362,"Experience New Orleans! 5Bd Rooms 3.5 Bathrooms, C",444613568,Lola,,Milan,29.93477,-90.0935,Entire home/apt,188.0,3,70,2025-09-01,1.66,3,290,18,"21-CSTR-16118, 22-OSTR-07285",New Orleans,20.55,38164.0
575170469348063416,Artsy Funky Central 3br Art House,112910785,Marigny,,St. Claude,29.97174,-90.04891,Entire home/apt,60.0,2,33,2025-08-12,0.85,81,311,15,"22-CSTR-06460, 23-OSTR-11798",New Orleans,14.79,13062.0
575505257603307434,Newly Renovated Luxury 2 bedroom/1 bathroom Beauty,173425771,Tinievangeline,,Broadmoor,29.94708,-90.1019,Entire home/apt,88.0,30,29,2025-05-05,0.69,1,312,5,"23-NSTR-03471, 22-OSTR-02593",New Orleans,14.52,19219.2
575511034699477492,Chic Luxury Bourbon St w/ Balcony King & Queen Bed,437172924,Bon Maison,,French Quarter,29.96010017,-90.06439972,Entire home/apt,219.0,1,189,2025-09-04,4.5,6,315,37,24-XSTR-12269,New Orleans,13.7,48289.5
575899728253285013,MidCity Charmer - Live-it-up like a NOLA local,82501714,Ashlea,,Mid-City,29.970375,-90.105659,Entire home/apt,147.0,31,0,,0.0,2,365,0,,New Orleans,0.0,37558.5
575993461787739683,Luxury Amenities - Hot Tub/Putting Green/Game Room,377150620,Garrett,,Fairgrounds,29.983906557629663,-90.08878538251952,Entire home/apt,538.0,2,58,2025-08-12,2.17,1,295,27,"24-NSTR-10159, 24-OSTR-03761",New Orleans,19.18,111097.0
576048625202706065,Luxury 2 bedroom with a fire place,180977375,Alana,,Dillard,29.99103,-90.06584,Entire home/apt,350.0,2,17,2023-08-06,0.44,2,361,0,"25-NSTR-01116, 24-OSTR-03581",New Orleans,1.1,88445.0
576051210993616750,19th Century Shotgun Condo - Lower Garden District,11936757,Lauren,,Lower Garden District,29.93432,-90.07183,Entire home/apt,272.0,30,30,2025-03-02,0.85,1,365,9,"25NSTR-09178, 25-OSTR-08443",New Orleans,0.0,69496.0
577050323409935065,Storybook NOLA on Water by Park w/Kayaks & Bikes,1261366,Andrew,,Fairgrounds,29.987198,-90.087074,Entire home/apt,71.0,30,39,2023-06-01,0.91,2,90,0,"21-RSTR-20717, 21-OSTR-20718",New Orleans,75.34,4473.0
578059212892216555,Modern 4-Bd Home w/ Pool | Perfect NOLA Getaway,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94218,-90.07594,Entire home/apt,265.0,1,80,2025-06-30,1.88,15,315,17,"22-CSTR-19207, 20-OSTR-00670",New Orleans,13.7,58432.5
578838426307473954,Modern 4 BR Condo with Balcony & Pool - Near FQ,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94275,-90.0749,Entire home/apt,269.0,1,93,2025-08-19,2.27,15,289,27,"22-CSTR-19205, 20-OSTR-00670",New Orleans,20.82,54418.7
578868057837314262,Chic 4 BR Condo | Large Pool | Perfect Location,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94246,-90.07481,Entire home/apt,244.0,1,98,2025-08-24,2.3,15,285,22,"22-CSTR-19208, 20-OSTR-00670",New Orleans,21.92,48678.0
578901680455111504,Modern 5 BR Condo | Large Pool | Near Everything,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94039,-90.07632,Entire home/apt,300.0,1,73,2025-08-09,1.72,15,317,14,"22-CSTR-19212, 20-OSTR-00670",New Orleans,13.15,66570.0
579511708195642544,Stunning Modern & Fully-Upgraded 5 BR w Pool,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94088554382324,-90.0748291015625,Entire home/apt,298.0,1,102,2025-07-30,2.56,15,294,42,"22-CSTR-19213, 20-OSTR-00670",New Orleans,19.45,61328.4
579524625838956318,Chic Urban Retreat w Pool Steps to Bourbon St.,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.9398,-90.0743,Entire home/apt,336.0,1,59,2025-08-15,1.39,15,296,18,"22-CSTR-19215, 20-OSTR-00670",New Orleans,18.9,69619.2
579544560242088766,Spacious 5 BR Retreat + Pool | Near It All!,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.9424,-90.07497,Entire home/apt,306.0,1,78,2025-08-08,1.89,15,289,16,"22-CSTR-19216, 20-OSTR-00670",New Orleans,20.82,61903.8
579576463715311117,5BR w Pool | Great for Families | Near Everything,442924771,Hosteeva Carondelet Luxe Condos,,Central City,29.94007,-90.07607,Entire home/apt,311.0,1,92,2025-08-09,2.22,15,278,22,"22-CSTR-19217, 20-OSTR-00670",New Orleans,23.84,60520.6
579607064590163762,Charming Studio | Central NOLA Vibes,442922842,Canal Express Studios,,Mid-City,29.976334409521314,-90.10430000635073,Private room,52.0,1,14,2025-07-21,0.33,16,353,1,23-XSTR-13193,New Orleans,3.29,12849.2
579636870207674260,Stylish Studio | Close to NOLA Hotspots,442922842,Canal Express Studios,,Mid-City,29.97655,-90.10424,Private room,52.0,1,21,2025-01-01,0.5,16,357,1,23-XSTR-13193,New Orleans,2.19,12994.8
579642163526981468,Serenity at the Lake • Heated Pool Retreat,64365837,Mike,,West End,30.02772,-90.11442,Entire home/apt,178.0,3,54,2025-08-20,1.36,63,317,21,"22-CSTR-18539, 19-OSTR-26283",New Orleans,13.15,39498.2
580154654769675162,Mid-City Canal Studio | NOLA Hotspot,442922842,Canal Express Studios,,Mid-City,29.97610126190704,-90.10256915007204,Private room,52.0,1,19,2023-12-30,0.45,16,353,0,23-XSTR-13193,New Orleans,3.29,12849.2
580225945404410996,Mid-City Studio | Near Jazz & Festivals,442922842,Canal Express Studios,,Mid-City,29.976049186420383,-90.10271872854702,Private room,52.0,1,42,2025-08-10,0.99,16,359,7,23-XSTR-13193,New Orleans,1.64,13067.6
580288108865579480,NOLA Studio | Streetcar Outside Your Door,442922842,Canal Express Studios,,Mid-City,29.97787,-90.10296,Private room,51.0,1,65,2025-07-07,1.55,16,363,8,23-XSTR-13193,New Orleans,0.55,12959.1
580302312352100841,2BR Condo Steps to French Quarter,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,163.0,2,114,2025-04-13,2.81,6,130,25,24-XSTR-13205,New Orleans,64.38,14833.0
580304137639170654,NOLA Vibes | Cozy Studio on Canal Street,442922842,Canal Express Studios,,Mid-City,29.97637,-90.10416,Private room,51.0,1,49,2025-04-26,1.17,16,356,4,23-XSTR-13193,New Orleans,2.47,12709.2
580323381741043395,1BR Condo Near Bourbon Street,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,100.0,2,53,2025-09-08,1.72,6,147,21,24-XSTR-13205,New Orleans,59.73,10290.0
580330353071097970,Canal Studio | Cozy Mid-City Vibes,442922842,Canal Express Studios,,Mid-City,29.97825,-90.10458,Private room,51.0,1,32,2024-05-14,0.76,16,365,0,23-XSTR-13193,New Orleans,0.0,13030.5
580331472574539753,Modern Condo Near Hot Spots & FQ,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,111.0,2,52,2025-04-12,1.24,6,144,21,24-XSTR-13205,New Orleans,60.55,11188.8
580331473346254984,Steps to French Quarter & Bourbon Street,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,145.0,2,88,2025-08-23,2.1,6,150,24,24-XSTR-13205,New Orleans,58.9,15225.0
580331474106649122,2BR Condo Near Canal St & FQ,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,145.0,2,91,2025-04-12,2.23,6,160,32,24-XSTR-13205,New Orleans,56.16,16240.0
580332141333824663,Steps to French Quarter & Bourbon Strteet,448923659,Lilia'S City Hidden Gem,,Central Business District,29.951134,-90.06778,Entire home/apt,95.0,2,33,2025-03-06,0.83,6,176,13,24-XSTR-13205,New Orleans,51.78,11704.0
580338530199667587,"Valence St Charmer, Walk to Freret & Tulane",167921411,Rochelle Marie,,Freret,29.93524,-90.10656,Entire home/apt,246.0,3,97,2025-08-17,2.31,31,225,20,"24-NSTR-10138, 24-OSTR-10137",New Orleans,38.36,38745.0
580357473810723189,Studio in NOLA’s Mid-City | Near It All,442922842,Canal Express Studios,,Mid-City,29.97655,-90.10295,Private room,51.0,1,42,2025-05-04,1.0,16,365,2,23-XSTR-13193,New Orleans,0.0,13030.5
580456761527078028,Lovely Uptown Apt | Steps to Tulane/Loyola,4264491,Kevin,,Audubon,29.93781,-90.11895,Entire home/apt,101.0,2,131,2025-08-28,3.37,1,289,36,"23-NSTR-16922, 23-OSTR-04671",New Orleans,20.82,20432.3
580478919504625088,Le Cadet: Pied-à-terre | | Steps to Tulane,449110727,Barbara,,Marlyville - Fontainbleau,29.95244,-90.11633,Entire home/apt,93.0,2,126,2025-09-02,3.0,1,136,31,"23-NSTR-15360, 24-OSTR-20094",New Orleans,62.74,8853.6
580497276652793392,New Luxury 2 Bedroom Condo with Pool & Balcony,106289693,William,,St. Claude,29.96464,-90.03643,Entire home/apt,163.0,2,93,2025-08-23,2.23,56,167,27,"23-CSTR-04478, 24-OSTR-04468",New Orleans,54.25,19054.7
581862466569063480,Waterfront! Black Dog Lodge & Fishing Charter,415706652,Adam,,Lake Catherine,30.16104,-89.73709,Entire home/apt,322.0,30,48,2025-08-31,1.13,1,342,7,"22-CSTR-20394, 23-OSTR-02972",New Orleans,6.3,77086.8
581986189204935078,Updated Historic Nola Gem,345715688,James,,Central City,29.93771168069331,-90.09147689975748,Entire home/apt,120.0,2,3,2025-07-27,1.1,1,336,3,"25-NSTR-12919, 25-OSTR-00148",New Orleans,7.95,28224.0
582351727354671326,Relaxed Studio | Festivals & Fun Nearby,442922842,Canal Express Studios,,Mid-City,29.97607,-90.10287,Private room,51.0,1,60,2025-07-07,1.42,16,365,4,23-XSTR-13193,New Orleans,0.0,13030.5
582437440534490898,Stay on Canal – Cozy New Orleans Studio,442922842,Canal Express Studios,,Mid-City,29.97821,-90.10471,Private room,51.0,1,18,2023-10-29,0.43,16,365,0,23-XSTR-13193,New Orleans,0.0,13030.5
582448128017891481,Arcade Game Room Retreat in Marigny • Walk to FQ,64365837,Mike,,Marigny,29.968151092529297,-90.05863952636719,Entire home/apt,256.0,3,101,2025-09-07,2.38,63,333,29,"22-CSTR-17283, 19-OSTR-26283",New Orleans,8.77,59673.6
582450608398172291,Charming Studio Near Jazz Fest & City Park,442922842,Canal Express Studios,,Mid-City,29.978,-90.10431,Private room,51.0,1,10,2025-07-06,0.24,16,365,1,23-XSTR-13193,New Orleans,0.0,13030.5
582490390790781731,Blissful New Orleans Retreat 3 Bedroom/ 2.5 bath,5816181,Eric,,Bayou St. John,29.97452,-90.08667,Entire home/apt,184.0,2,130,2025-09-08,3.06,1,312,31,"23-NSTR-15965, 24-OSTR-14799",New Orleans,14.52,40185.6
582491339595050097,NOLA Vibes | Cozy Studio on Canal Street,442922842,Canal Express Studios,,Mid-City,29.97818,-90.10321,Private room,51.0,1,34,2025-01-19,0.85,16,349,4,23-XSTR-13193,New Orleans,4.38,12459.3
582757370333945616,Cute 1bed walk to French Q & Bourbon St,26642486,Jose,,Seventh Ward,29.968074798583984,-90.0624771118164,Entire home/apt,52.0,2,91,2025-08-24,2.18,17,224,24,"23-CSTR-06764, 24-OSTR-04983",New Orleans,38.63,8153.6
582828913113588613,Perfectly located Uptown private guest suite,128293516,Brandon,,Uptown,29.93216,-90.10534,Entire home/apt,80.0,2,88,2025-06-22,2.12,1,246,22,"23-NSTR-14242, 23-OSTR-14108",New Orleans,32.6,13776.0
584561021578373266,Comfy Clean 1br by Tulane U & Oak Street,112910785,Marigny,,Leonidas,29.94981575012207,-90.12806701660156,Entire home/apt,57.0,2,33,2025-08-25,0.79,81,302,27,"22-cstr-03249, 23-OSTR-11614",New Orleans,17.26,12049.8
585949066499985100,Welcome to New Orleans! Close to French Quarter,200141735,Arinn,,Seventh Ward,29.97634,-90.07157,Entire home/apt,167.0,2,47,2025-04-28,1.34,2,117,13,"24-NSTR-09880, 24-OSTR-09866",New Orleans,67.95,13677.3
587362355972894105,A Walk to City Park,31782112,Ebony,,Mid-City,29.97228240966797,-90.10603332519533,Entire home/apt,62.0,30,44,2024-12-15,1.24,3,346,3,"22-RSTR-01364, 22-OSTR-01363",New Orleans,5.21,15016.4
587675081871082113,Walk to St. Charles Ave & Streetcar,450592879,Bryan,,Milan,29.932360439559,-90.09478145251296,Entire home/apt,128.0,3,57,2025-07-06,1.35,1,53,8,"23-NSTR-13437, 24-OSTR-17808",New Orleans,85.48,4748.8
